2026-02-24 15:49:57 | INFO     | tokkyon | 接続テスト開始: provider=openai
2026-02-24 15:49:57 | DEBUG    | tokkyon | OpenAI APIに接続中...
2026-02-24 15:49:57 | DEBUG    | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-ceeb4fdf-e005-47f0-83e9-f777f862c2c6', 'json_data': {'messages': [{'role': 'user', 'content': 'Hello'}], 'model': 'gpt-4o', 'max_tokens': 5}}
2026-02-24 15:49:57 | DEBUG    | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2026-02-24 15:49:57 | DEBUG    | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2026-02-24 15:49:57 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7afde9e2a7a0>
2026-02-24 15:49:57 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7afdeabb8140> server_hostname='api.openai.com' timeout=5.0
2026-02-24 15:49:57 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7afde9e2a830>
2026-02-24 15:49:57 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2026-02-24 15:49:57 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-02-24 15:49:57 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2026-02-24 15:49:57 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-02-24 15:49:57 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2026-02-24 15:49:59 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 06:49:59 GMT'), (b'Content-Type', b'application/json'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'access-control-expose-headers', b'X-Request-ID'), (b'openai-organization', b'user-pzynibuzlm992imatpzlnrbg'), (b'openai-processing-ms', b'577'), (b'openai-project', b'proj_zEz8CvHkwOgqctRcj2SCdJwe'), (b'openai-version', b'2020-10-01'), (b'Server', b'cloudflare'), (b'x-ratelimit-limit-requests', b'500'), (b'x-ratelimit-limit-tokens', b'30000'), (b'x-ratelimit-remaining-requests', b'499'), (b'x-ratelimit-remaining-tokens', b'29996'), (b'x-ratelimit-reset-requests', b'120ms'), (b'x-ratelimit-reset-tokens', b'8ms'), (b'x-request-id', b'req_f87777c37d37461999128f860884f15b'), (b'x-openai-proxy-wasm', b'v0.1'), (b'cf-cache-status', b'DYNAMIC'), (b'set-cookie', b'__cf_bm=bAmhaLU10SDxmE4nC8Fyrx6aB38kGV089s_e1wTE7C8-1771915797.941182-1.0.1.1-jhbgf3foRznYqxqhiL7RitHwDMrQi3SodNbtiTNv49P7hQSCCC3_Q8GuAU75gYn4Xp5pNXGzaCsIHDhPg4o6cv7tHEgtHHBn4NJsl_evoXN5yZDE8_XE4Hxe.WSIvM2i; HttpOnly; Secure; Path=/; Domain=api.openai.com; Expires=Tue, 24 Feb 2026 07:19:59 GMT'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'Content-Encoding', b'gzip'), (b'CF-RAY', b'9d2d06a92856b63d-NRT'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24 15:49:59 | INFO     | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-02-24 15:49:59 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2026-02-24 15:49:59 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-02-24 15:49:59 | DEBUG    | httpcore.http11 | response_closed.started
2026-02-24 15:49:59 | DEBUG    | httpcore.http11 | response_closed.complete
2026-02-24 15:49:59 | DEBUG    | openai._base_client | HTTP Response: POST https://api.openai.com/v1/chat/completions "200 OK" Headers({'date': 'Tue, 24 Feb 2026 06:49:59 GMT', 'content-type': 'application/json', 'transfer-encoding': 'chunked', 'connection': 'keep-alive', 'access-control-expose-headers': 'X-Request-ID', 'openai-organization': 'user-pzynibuzlm992imatpzlnrbg', 'openai-processing-ms': '577', 'openai-project': 'proj_zEz8CvHkwOgqctRcj2SCdJwe', 'openai-version': '2020-10-01', 'server': 'cloudflare', 'x-ratelimit-limit-requests': '500', 'x-ratelimit-limit-tokens': '30000', 'x-ratelimit-remaining-requests': '499', 'x-ratelimit-remaining-tokens': '29996', 'x-ratelimit-reset-requests': '120ms', 'x-ratelimit-reset-tokens': '8ms', 'x-request-id': 'req_f87777c37d37461999128f860884f15b', 'x-openai-proxy-wasm': 'v0.1', 'cf-cache-status': 'DYNAMIC', 'set-cookie': '__cf_bm=bAmhaLU10SDxmE4nC8Fyrx6aB38kGV089s_e1wTE7C8-1771915797.941182-1.0.1.1-jhbgf3foRznYqxqhiL7RitHwDMrQi3SodNbtiTNv49P7hQSCCC3_Q8GuAU75gYn4Xp5pNXGzaCsIHDhPg4o6cv7tHEgtHHBn4NJsl_evoXN5yZDE8_XE4Hxe.WSIvM2i; HttpOnly; Secure; Path=/; Domain=api.openai.com; Expires=Tue, 24 Feb 2026 07:19:59 GMT', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'x-content-type-options': 'nosniff', 'content-encoding': 'gzip', 'cf-ray': '9d2d06a92856b63d-NRT', 'alt-svc': 'h3=":443"; ma=86400'})
2026-02-24 15:49:59 | DEBUG    | openai._base_client | request_id: req_f87777c37d37461999128f860884f15b
2026-02-24 15:49:59 | INFO     | tokkyon | OpenAI 接続成功
2026-02-24 15:51:17 | INFO     | tokkyon | === 明細書生成開始 ===
2026-02-24 15:51:17 | INFO     | tokkyon | リポジトリURL: https://github.com/banana1211-cyber/vrm-chat-app
2026-02-24 15:51:17 | INFO     | tokkyon | 出願人: 出願人
2026-02-24 15:51:17 | INFO     | tokkyon | LLMプロバイダー: openai
2026-02-24 15:51:17 | INFO     | tokkyon | リポジトリ解析中...
2026-02-24 15:51:17 | DEBUG    | httpcore.connection | connect_tcp.started host='api.github.com' port=443 local_address=None timeout=5.0 socket_options=None
2026-02-24 15:51:17 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7afde9e84040>
2026-02-24 15:51:17 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x7afde9f6aec0> server_hostname='api.github.com' timeout=5.0
2026-02-24 15:51:17 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7afde9e2bf40>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 06:51:17 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Cache-Control', b'public, max-age=60, s-maxage=60'), (b'Vary', b'Accept,Accept-Encoding, Accept, X-Requested-With'), (b'ETag', b'W/"eea1a0153f905b0723ece58966169918da9260b153aa1b0024711d32c50aa551"'), (b'Last-Modified', b'Fri, 17 Oct 2025 08:45:45 GMT'), (b'X-GitHub-Media-Type', b'github.v3; format=json'), (b'x-github-api-version-selected', b'2022-11-28'), (b'Access-Control-Expose-Headers', b'ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Used, X-RateLimit-Resource, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, X-GitHub-SSO, X-GitHub-Request-Id, Deprecation, Sunset'), (b'Access-Control-Allow-Origin', b'*'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubdomains; preload'), (b'X-Frame-Options', b'deny'), (b'X-Content-Type-Options', b'nosniff'), (b'X-XSS-Protection', b'0'), (b'Referrer-Policy', b'origin-when-cross-origin, strict-origin-when-cross-origin'), (b'Content-Security-Policy', b"default-src 'none'"), (b'Content-Encoding', b'gzip'), (b'Server', b'github.com'), (b'Accept-Ranges', b'bytes'), (b'X-RateLimit-Limit', b'60'), (b'X-RateLimit-Remaining', b'59'), (b'X-RateLimit-Reset', b'1771919477'), (b'X-RateLimit-Resource', b'core'), (b'X-RateLimit-Used', b'1'), (b'Content-Length', b'1256'), (b'X-GitHub-Request-Id', b'DD60:256BC0:85FEB7:A571AD:699D4A65')])
2026-02-24 15:51:17 | INFO     | httpx | HTTP Request: GET https://api.github.com/repos/banana1211-cyber/vrm-chat-app "HTTP/1.1 200 OK"
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | response_closed.started
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | response_closed.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 06:51:17 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Cache-Control', b'public, max-age=60, s-maxage=60'), (b'Vary', b'Accept,Accept-Encoding, Accept, X-Requested-With'), (b'ETag', b'W/"6d363762b5e672f158427d21539fd3c13a563ff2"'), (b'Last-Modified', b'Fri, 17 Oct 2025 08:45:38 GMT'), (b'X-GitHub-Media-Type', b'github.v3; format=json'), (b'x-github-api-version-selected', b'2022-11-28'), (b'Access-Control-Expose-Headers', b'ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Used, X-RateLimit-Resource, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, X-GitHub-SSO, X-GitHub-Request-Id, Deprecation, Sunset'), (b'Access-Control-Allow-Origin', b'*'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubdomains; preload'), (b'X-Frame-Options', b'deny'), (b'X-Content-Type-Options', b'nosniff'), (b'X-XSS-Protection', b'0'), (b'Referrer-Policy', b'origin-when-cross-origin, strict-origin-when-cross-origin'), (b'Content-Security-Policy', b"default-src 'none'"), (b'Content-Encoding', b'gzip'), (b'Server', b'github.com'), (b'Accept-Ranges', b'bytes'), (b'X-RateLimit-Limit', b'60'), (b'X-RateLimit-Remaining', b'58'), (b'X-RateLimit-Reset', b'1771919477'), (b'X-RateLimit-Resource', b'core'), (b'X-RateLimit-Used', b'2'), (b'Transfer-Encoding', b'chunked'), (b'X-GitHub-Request-Id', b'DD60:256BC0:85FEF0:A571EA:699D4A65')])
2026-02-24 15:51:17 | INFO     | httpx | HTTP Request: GET https://api.github.com/repos/banana1211-cyber/vrm-chat-app/readme "HTTP/1.1 200 OK"
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_body.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | response_closed.started
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | response_closed.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_headers.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'GET']>
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | send_request_body.complete
2026-02-24 15:51:17 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'GET']>
2026-02-24 15:51:18 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Expose-Headers', b'ETag, Link, Location, Retry-After, X-GitHub-OTP, X-RateLimit-Limit, X-RateLimit-Remaining, X-RateLimit-Used, X-RateLimit-Resource, X-RateLimit-Reset, X-OAuth-Scopes, X-Accepted-OAuth-Scopes, X-Poll-Interval, X-GitHub-Media-Type, X-GitHub-SSO, X-GitHub-Request-Id, Deprecation, Sunset'), (b'Cache-Control', b'public, max-age=60, s-maxage=60'), (b'Content-Length', b'13074'), (b'Content-Security-Policy', b"default-src 'none'"), (b'Content-Type', b'application/json; charset=utf-8'), (b'ETag', b'"60c24d9d65a48e96c5da399af718cbf77a3abf43"'), (b'Last-Modified', b'Fri, 17 Oct 2025 08:45:45 GMT'), (b'Referrer-Policy', b'origin-when-cross-origin, strict-origin-when-cross-origin'), (b'Vary', b'Accept, Accept-Encoding, Accept, X-Requested-With'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'x-github-api-version-selected', b'2022-11-28'), (b'X-GitHub-Media-Type', b'github.v3; format=json'), (b'x-internal-experiment-version-metadata', b'ZW1wdHlfcmVwb3NpdG9yeTpmYWxzZSxoZWFkX29pZDpjN2YwZThiOTFmOTMyMzc1ZTk1MWVjYjc5N2M5YTY4NzhlNDNjYTlhLHJlZl9uYW1lOm1haW4scmVmX2NvbW1pdF9vaWQ6YzdmMGU4YjkxZjkzMjM3NWU5NTFlY2I3OTdjOWE2ODc4ZTQzY2E5YSxyb290X3RyZWVfZW50cnlfb2lkOjYwYzI0ZDlkNjVhNDhlOTZjNWRhMzk5YWY3MThjYmY3N2EzYWJmNDMscGF0aF9vYmplY3RfdHlwZTp0cmVlLHBhdGhfb2JqZWN0X29pZDo2MGMyNGQ5ZDY1YTQ4ZTk2YzVkYTM5OWFmNzE4Y2JmNzdhM2FiZjQzLHBhdGhfb2JqZWN0X21vZGU6LHBhdGhfb2JqZWN0X3NpemU6'), (b'X-XSS-Protection', b'0'), (b'Date', b'Tue, 24 Feb 2026 06:51:17 GMT'), (b'Server', b'github.com'), (b'Accept-Ranges', b'bytes'), (b'X-RateLimit-Limit', b'60'), (b'X-RateLimit-Remaining', b'57'), (b'X-RateLimit-Reset', b'1771919477'), (b'X-RateLimit-Resource', b'core'), (b'X-RateLimit-Used', b'3'), (b'X-GitHub-Request-Id', b'DD60:256BC0:85FF32:A5723C:699D4A65')])
2026-02-24 15:51:18 | INFO     | httpx | HTTP Request: GET https://api.github.com/repos/banana1211-cyber/vrm-chat-app/contents/ "HTTP/1.1 200 OK"
2026-02-24 15:51:18 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'GET']>
